"distribution";"density_fun";"dist_density";"no_of_parameters";"default_location";"default_scale";"default_skewness";"default_kurtosis";"default_binomial_denominator";"discrete_flag";"dist_type";"location_lower_condition";"location_upper_condition";"scale_lower_condition";"scale_upper_condition";"skewness_lower_condition";"skewness_upper_condition";"kurtosis_lower_condition";"kurtosis_upper_condition";"x_lower_condition";"x_upper_condition";"fun_call";"location_lower_bound";"location_upper_bound";"scale_lower_bound";"scale_upper_bound";"skewness_lower_bound";"skewness_upper_bound";"kurtosis_lower_bound";"kurtosis_upper_bound";"x_lower_bound";"x_upper_bound"
"Gamma";"dGA";"Gamma - dGA";2;1;1;NA;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Generalized Beta type 1";"dGB1";"Generalized Beta type 1 - dGB1";4;0.5;0.4;1;1;NA;0;"continuous";"<=0";">=1";"<=0";">=1";"<0";NA;"<0";NA;"<=0";">=1";NA;1e-10;0.9999999;1e-10;0.9999999;0;NA;"0";NA;"1e-10";0.9999999
"Generalized Beta type 2";"dGB2";"Generalized Beta type 2 - dGB2";4;1;1;1;0.5;NA;0;"continuous";"<0";NA;NA;NA;"<0";NA;"<0";NA;NA;NA;NA;0;NA;NA;NA;0;NA;"0";NA;NA;NA
"Geometric";"dGEOM";"Geometric - dGEOM";1;2;NA;NA;NA;NA;1;"discrete";"<0";NA;NA;NA;NA;NA;NA;NA;"<0";NA;NA;0;NA;NA;NA;NA;NA;NA;NA;"0";NA
"Geometric (original)";"dGEOMo";"Geometric (original) - dGEOMo";1;0.5;NA;NA;NA;NA;1;"discrete";"<0";">1";NA;NA;NA;NA;NA;NA;"<0";NA;NA;0;1;NA;NA;NA;NA;NA;NA;"0";NA
"Generalized Gamma";"dGG";"Generalized Gamma - dGG";3;1;0.5;1;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;"dGA";1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Generalized Inverse Gaussian";"dGIG";"Generalized Inverse Gaussian - dGIG";3;1;1;1;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Generalised Pareto";"dGP";"Generalised Pareto - dGP";2;1;1;NA;NA;NA;0;"continuous";"<0";NA;"<0";NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA
"Generalised Pareto";"dGPO";"Generalised Pareto - dGPO";2;1;1;NA;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;"dPO";1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Generalized t";"dGT";"Generalized t - dGT";4;0;1;3;1.5;NA;0;"continuous";NA;NA;"<=0";NA;"<=0";NA;"<=0";NA;NA;NA;NA;NA;NA;1e-10;NA;1e-10;NA;"1e-10";NA;NA;NA
"Gumbel";"dGU";"Gumbel - dGU";2;0;1;NA;NA;NA;0;"continuous";NA;NA;"<0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA
